Team,Jumper,Name,Games,DoB,Height,Weight,Recruited,Position
Geelong,9,"Smith, Zac",112,1990-02-22,206,105,QLD Soccer,Ruck
Geelong,1,"Stanley, Rhys",116,1990-12-01,200,102,West Adelaide,Ruck
Geelong,44,"Stewart, Thomas",44,1993-03-15,190,88,Geelong Vfl,Defender
Geelong,33,"Tarca, Jake",0,2000-02-23,175,74,South Adelaide,Forward
Geelong,7,"Taylor, Harry",238,1986-06-12,195,94,East Fremantle,Defender
Geelong,2,"Tuohy, Zach",168,1989-12-10,187,93,"County Laois, Ireland",Defender
Gold Coast,13,"Ah Chee, Callum",44,1997-10-09,182,78,South Fremantle,Defender/Forward
Gold Coast,9,"Ainsworth, Ben",30,1998-02-10,178,78,Gippsland Power,Forward
Gold Coast,10,"Ballard, Charlie",12,1999-07-23,195,83,Sturt,Defender
Gold Coast,3,"Bowes, Jack",28,1998-01-26,187,82,Cairns,Midfield
Gold Coast,7,"Brodie, Will",11,1998-08-23,189,88,Murray Bushrangers,Midfield
Gold Coast,29,"Burgess, Chris",1,1995-11-26,191,82,,Defender/Forward
Gold Coast,25,"Collins, Samuel",15,1994-06-15,194,98,Box Hill Hawks,Defender
Gold Coast,19,"Corbett, Josh",0,1996-04-23,190,90,Werribee,Forward
Gold Coast,32,"Crossley, Brayden",10,1999-08-16,198,102,Gold Coast Academy,Forward
Gold Coast,45,"Dawson, Jacob",3,1999-11-03,182,79,Suns Academy,Midfield
Gold Coast,12,"Day, Sam",110,1992-09-06,197,102,Sturt,Forward
Gold Coast,17,"Ellis, Corey",27,1996-10-09,184,79,Western Jets,Defender/Midfield
Gold Coast,8,"Fiorini, Brayden",27,1997-08-22,186,83,Northern Knights,Midfield
Gold Coast,50,"Fletcher, Sam",0,2000-01-27,188,77,Dandenong Stingrays,Midfield
Gold Coast,46,"Graham, Caleb",0,2000-09-12,194,90,Gold Coast Academy,Defender/Ruck
Gold Coast,1,"Hanley, Pearce",146,1988-11-15,185,85,County Mayo Ireland,Defender
Gold Coast,5,"Harbrow, Jarrod",225,1988-07-18,178,73,Murray Bushrangers,Defender
Gold Coast,40,"Heron, Jacob",8,1999-12-10,180,76,Suns Academy,Defender/Forward
Gold Coast,39,"Holman, Nicholas",31,1995-05-29,189,88,Central District,Forward
Gold Coast,20,"Hombsch, Jack",99,1993-03-07,194,90,Roxby Downs,Defender
Gold Coast,33,"Horlin-Smith, George",52,1992-12-22,188,84,Oakleigh Chargers,Midfield
Gold Coast,38,"Joyce, Jesse",47,1997-08-17,191,85,Palm Beach Currumbin Afc,Defender
Gold Coast,34,"King, Ben",0,2000-07-07,202,87,Sandringham Dragons,Forward
Gold Coast,23,"Lemmens, Sean",79,1994-11-02,184,83,Port Adelaide,Forward
Gold Coast,21,"Leslie, Jack",28,1995-04-27,198,100,Gippsland Power,Defender
Gold Coast,41,"Lukosius, Jack",1,2000-08-09,195,85,Wwt Eagles,Forward
Gold Coast,44,"Macpherson, Darcy",18,1997-10-29,174,78,Northern Knights,Forward
Gold Coast,4,"Martin, Jack",82,1995-01-29,186,82,Geraldton,Midfield/Forward
Gold Coast,43,"McLennan, Jez",0,2000-09-07,184,82,Central District,Defender
Gold Coast,2,"Miles, Anthony",72,1992-02-28,180,80,Gws,Midfield
Gold Coast,11,"Miller, Touk",83,1996-02-22,178,84,Calder Cannons,Midfield
Gold Coast,31,"Murdoch, Jordan",109,1992-03-23,190,87,Glenelg,Midfield
Gold Coast,22,"Nicholls, Tom",45,1992-03-04,203,103,Sandringham Dragons,Ruck
Gold Coast,42,"Nutting, Connor",0,1999-10-09,187,79,Broadbeach Afc,Defender/Forward
Gold Coast,27,"Powell, Wil",8,1999-08-26,185,70,Claremont,Forward
Gold Coast,37,"Rankine, Izak",0,2000-04-23,180,80,West Adelaide,Forward
Gold Coast,35,"Rischitelli, Michael",236,1986-01-08,185,84,Western Jets,Defender
Gold Coast,18,"Scheer, Bradley",0,1998-08-31,184,85,Gold Coast,Midfield/Forward
Gold Coast,36,"Schoenfeld, Joshua",14,1997-07-03,186,84,Peel Thunder,Midfield
Gold Coast,6,"Sexton, Alex",98,1993-12-03,186,84,Redland,Forward
Gold Coast,24,"Swallow, David",118,1992-11-19,185,86,East Fremantle,Midfield
Gold Coast,16,"Thompson, Rory",103,1991-03-12,200,100,Southport Sharks,Defender
Gold Coast,14,"Weller, Lachlan",70,1996-02-23,181,82,Southport,Defender/Midfield
Gold Coast,26,"Wigg, Harrison",0,1996-10-16,180,80,North Adelaide,Defender
Gold Coast,28,"Witts, Jarrod",81,1992-09-13,209,111,Sydney University,Ruck
Gold Coast,30,"Wright, Peter",50,1996-09-08,203,102,Calder Cannons,Forward
Gold Coast,15,"Young, Aaron",98,1992-12-06,189,84,Eastern Ranges,Forward
Greater Western Sydney,10,"Bonar, Aiden",4,1999-03-08,188,86,Dandenong Stingrays,Midfield/Forward
Greater Western Sydney,32,"Briggs, Kieren",0,1999-10-06,199,101,Pennant Hills,Ruck
Greater Western Sydney,46,"Brown, Callum",0,2000-08-15,189,91,County Derry,Defender
Greater Western Sydney,43,"Buckley, Dylan",41,1993-03-16,179,75,Northern Knights,Forward
Greater Western Sydney,44,"Buckley, Jack",0,1997-12-17,193,85,Swans Academy,Midfield/Forward
Greater Western Sydney,21,"Buntine, Matthew",50,1993-10-19,189,84,Dandenong Stingrays,Defender
Greater Western Sydney,5,"Caldwell, Jye",0,2000-09-28,184,80,Bendigo Pioneers,Midfield
Greater Western Sydney,18,"Cameron, Jeremy",131,1993-04-01,196,96,Dartmore,Forward
Greater Western Sydney,3,"Coniglio, Stephen",119,1993-12-15,182,86,Swan Districts,Midfield
Greater Western Sydney,35,"Corr, Aidan",75,1994-05-17,195,95,Northern Knights,Defender
Greater Western Sydney,13,"Cumming, Isaac",2,1998-08-11,184,80,Broken Hill,Defender
Greater Western Sydney,16,"Daniels, Brent",8,1999-03-09,170,72,Bendigo Pioneers,Forward
Greater Western Sydney,1,"Davis, Phil",144,1990-08-30,197,96,North Adelaide,Defender
Greater Western Sydney,24,"De Boer, Matthew",169,1990-03-10,189,86,Claremont,Forward
Greater Western Sydney,7,"Deledio, Brett",262,1987-04-18,188,88,Murray Bushrangers,Midfield
Greater Western Sydney,31,"Finlayson, Jeremy",16,1996-02-09,196,92,Hills Eagles,Defender
Greater Western Sydney,30,"Flynn, Matthew",0,1997-09-13,200,102,Narrandera,Ruck
Greater Western Sydney,4,"Greene, Toby",127,1993-09-25,182,83,Oakleigh Chargers,Forward
Greater Western Sydney,9,"Hately, Jackson",0,2000-10-21,190,82,Central District,Midfield
Greater Western Sydney,19,"Haynes, Nick",105,1992-05-18,193,89,Dandenong Stingrays,Defender
Greater Western Sydney,37,"Hill, Ian",0,2000-02-09,175,75,Perth,Midfield/Forward
Greater Western Sydney,27,"Himmelberg, Harrison",41,1996-05-08,194,92,Mangoplah Cookardinia United Eastlakes,Forward
Greater Western Sydney,2,"Hopper, Jacob",45,1997-02-06,187,87,North Ballarat Rebels,Midfield
Greater Western Sydney,39,"Idun, Connor",0,2000-07-29,190,92,Geelong Falcons,Defender/Forward
Greater Western Sydney,25,"Keeffe, Lachlan",49,1990-04-14,204,102,Queensland Under 18s,Defender
Greater Western Sydney,22,"Kelly, Joshua",100,1995-02-12,184,82,Sandringham Dragons,Midfield
Greater Western Sydney,40,"Kennedy, Adam",93,1992-07-12,182,80,Western Jets,Defender
Greater Western Sydney,17,"Langdon, Zac",21,1995-11-13,177,80,Claremont,Forward
Greater Western Sydney,38,"Lloyd, Daniel",22,1992-02-18,187,86,Killarney Vale,Forward
Greater Western Sydney,41,"Mumford, Shane",172,1986-07-05,197,105,Geelong,Ruck
Greater Western Sydney,33,"O'Halloran, Xavier",0,2000-07-11,186,84,Western Jets,Midfield
Greater Western Sydney,12,"Patton, Jonathon",89,1993-05-20,198,101,Eastern Ranges,Forward/Ruck
Greater Western Sydney,36,"Perryman, Harry",18,1998-12-19,184,80,Collingullie,Defender
Greater Western Sydney,50,"Reid, Samuel",65,1989-11-07,188,85,Uws Giants,Defender/Forward
Greater Western Sydney,23,"Shaw, Heath",283,1985-11-27,183,86,Northern Knights,Defender
Greater Western Sydney,11,"Sheridan, Thomas",81,1993-10-28,187,82,Calder Cannons,Midfield
Greater Western Sydney,34,"Shipley, Nicholas",2,1999-06-25,188,95,Gws Academy,Midfield
Greater Western Sydney,26,"Simpson, Dawson",40,1989-02-17,210,109,Murray Bushrangers,Ruck
Greater Western Sydney,28,"Sproule, Zachary",0,1998-05-12,197,92,Albury,Midfield/Forward
Greater Western Sydney,42,"Stein, Jake",0,1994-01-17,195,94,Penrith,Defender
Greater Western Sydney,14,"Taranto, Tim",38,1998-01-28,187,87,Sandringham Dragons,Midfield
Greater Western Sydney,15,"Taylor, Sam",9,1999-05-05,196,87,Swan Districts,Defender
Greater Western Sydney,20,"Tomlinson, Adam",116,1993-08-10,194,96,Oakleigh Chargers,Midfield
Greater Western Sydney,8,"Ward, Callan",216,1990-04-10,187,84,Western Jets,Midfield
Greater Western Sydney,6,"Whitfield, Lachie",115,1994-07-18,187,81,Dandenong Stingrays,Defender
Greater Western Sydney,29,"Williams, Zachary",79,1994-09-20,185,84,Narrandera,Defender
Hawthorn,14,"Birchall, Grant",245,1988-01-28,193,89,Devonport,Defender
Hawthorn,30,"Brand, Kaiden",38,1994-04-08,198,98,West Adelaide,Defender
Hawthorn,22,"Breust, Luke",186,1990-11-11,184,84,Temora,Forward
Hawthorn,9,"Burgoyne, Shaun",359,1982-10-21,186,89,Port Adelaide,Midfield
Hawthorn,18,"Ceglar, Jonathon",62,1991-02-14,204,102,Murray Bushrangers,Forward/Ruck
Hawthorn,46,"Cousins, James",8,1998-03-19,185,80,Murray Bushrangers,Midfield
Hawthorn,12,"Frawley, James",208,1988-09-20,193,96,Nth Ballarat,Defender
Hawthorn,13,"Glass, Conor",10,1997-09-28,189,84,Maghera,Defender
Hawthorn,45,"Golds, Will",0,2000-05-06,183,73,Oakleigh Chargers,Midfield
Hawthorn,44,"Greaves, Damon",0,2000-04-25,186,75,East Perth,Defender/Midfield
Hawthorn,19,"Gunston, Jack",173,1991-10-16,193,87,Sandringham,Forward
Hawthorn,41,"Hanrahan, Oliver",0,1998-08-27,181,75,St. Kevin's College,Forward
Hawthorn,15,"Hardwick, Blake",45,1997-02-05,181,79,Eastern Ranges,Defender
Hawthorn,31,"Henderson, Ricky",131,1988-09-11,188,91,Trentham,Midfield
Hawthorn,17,"Howe, Daniel",50,1995-12-04,191,86,Murray Bushrangers,Midfield
Hawthorn,4,"Impey, Jarman",100,1995-07-09,178,82,Murray Bushrangers,Defender/Forward
Hawthorn,29,"Jiath, Changkuoth",0,1999-06-13,185,74,Ethiopia,Defender
Hawthorn,40,"Jones, Harrison",0,1999-03-15,185,80,Murray Bushrangers,Defender
Hawthorn,34,"Koschitzke, Jacob",0,2000-07-11,196,93,Albury,Defender/Forward
Hawthorn,29,"Langford, William",72,1992-07-03,187,83,Easts Fc Sydney,Midfield/Forward
Hawthorn,8,"Lewis, Mitchell",2,1998-10-14,198,92,Calder Cannons,Forward
Hawthorn,7,"McEvoy, Ben",188,1989-07-11,200,102,Murray Bushrangers,Ruck
Hawthorn,42,"Miles, Teia",12,1996-11-02,180,73,Geelong Falcons,Defender
Hawthorn,38,"Minchington, Darren",28,1993-12-09,179,81,Dandenong Stingrays,Midfield
Hawthorn,32,"Mirra, David",8,1991-03-20,186,89,Box Hill Hawks,Defender
Hawthorn,3,"Mitchell, Tom",111,1993-05-31,182,84,Claremont,Midfield
Hawthorn,39,"Mohr, Timothy",0,1988-10-19,196,100,Greater Western Sydney,Defender
Hawthorn,36,"Moore, Dylan",0,1999-08-04,176,66,Eastern Ranges,Forward
Hawthorn,1,"Morrison, Harry",23,1998-11-12,180,76,Murray Bushrangers,Midfield/Forward
Hawthorn,11,"Nash, Conor",6,1998-07-28,197,93,Dublin,Forward
Hawthorn,23,"O'Brien, Tim",46,1994-03-28,193,88,Glenelg,Forward
Hawthorn,10,"O'Meara, Jaeger",72,1994-02-23,183,83,Perth Demons,Midfield
Hawthorn,27,"Pittonet, Marc",5,1996-06-03,202,105,Oakleigh Chargers,Ruck
Hawthorn,28,"Puopolo, Paul",169,1987-12-02,173,78,Norwood,Forward
Hawthorn,47,"Reeves, Ned",0,1998-10-31,208,96,Box Hill,Ruck
Hawthorn,37,"Ross, Jackson",0,1999-06-22,193,75,Eastern Ranges,Forward
Hawthorn,2,"Roughead, Jarryd",276,1987-01-23,193,98,Gippsland Power,Forward
Hawthorn,25,"Schoenmakers, Ryan",121,1990-11-08,195,94,Norwood,Forward
Hawthorn,35,"Scrimshaw, Jack",5,1998-09-04,193,88,Sandringham Dragons,Defender
Hawthorn,21,"Scully, Tom",152,1991-05-15,181,80,Dandenong Stingrays,Midfield
Hawthorn,26,"Shiels, Liam",187,1991-04-29,183,84,Boronia,Midfield
Hawthorn,6,"Sicily, James",61,1995-01-06,186,85,Western Jets,Defender
Hawthorn,16,"Smith, Isaac",182,1988-12-30,188,83,North Ballarat,Midfield
Hawthorn,24,"Stratton, Benjamin",170,1989-03-01,189,88,East Perth,Defender
Hawthorn,33,"Walker, Mathew",0,2000-02-14,188,82,Gws Academy,Midfield/Forward
Hawthorn,20,"Wingard, Chad",147,1993-07-29,183,85,Sturt,Midfield/Forward
Hawthorn,5,"Worpel, James",12,1999-01-24,185,85,Geelong Falcons,Midfield/Forward
Melbourne,33,"Baker, Oskar",0,1998-05-25,184,79,Aspley,Midfield
Melbourne,12,"Bedford, Toby",0,2000-05-27,177,69,Dandenong Stingrays,Midfield/Forward
Melbourne,46,"Bradtke, Austin R",0,2000-05-27,204,90,Basketball,Ruck
Melbourne,10,"Brayshaw, Angus",62,1996-01-09,187,87,Sandringham Dragons,Midfield
Melbourne,37,"Chandler, Kade R",0,2000-01-13,173,75,Norwood,Midfield
Melbourne,31,"Fritsch, Bayley",27,1996-12-06,188,81,Casey Demons,Midfield
Melbourne,17,"Frost, Sam",73,1993-08-28,194,95,Sandringham Dragons,Defender
Melbourne,36,"Garlett, Jeff",178,1989-08-03,180,72,Swan Districts,Forward
Melbourne,11,"Gawn, Max",103,1991-12-30,208,109,Sandringham Dragons,Ruck
Melbourne,19,"Hannan, Mitchell",35,1994-03-09,189,87,Footscray,Forward
Melbourne,4,"Harmes, James",73,1995-10-05,185,86,Dandenong Stingrays,Midfield
Melbourne,14,"Hibberd, Michael",127,1990-01-03,186,93,Frankston,Defender
Melbourne,34,"Hore, Marty",2,1996-03-05,189,84,Collingwood Vfl,Defender
Melbourne,29,"Hunt, Jayden",51,1995-04-03,187,83,Brighton Grammar,Defender
Melbourne,39,"Jetta, Neville",144,1990-02-12,180,82,Melbourne,Defender
Melbourne,2,"Jones, Nathan",268,1988-01-20,180,87,Dandenong Stingrays,Midfield
Melbourne,23,"Jordan, James",0,2000-12-20,187,80,Oakleigh Chargers,Defender/Midfield
Melbourne,45,"Keilty, Declan R",0,1995-05-08,194,95,Casey Scorpions,Defender
Melbourne,24,"Kennedy-Harris, Jay",34,1995-03-21,173,75,Oakleigh Chargers,Midfield
Melbourne,16,"Kolodjashnij, Kade",80,1995-08-09,190,85,Launceston,Defender
Melbourne,8,"Lever, Jake",67,1996-03-05,195,92,Calder Cannons,Defender
Melbourne,6,"Lewis, Jordan",307,1986-04-24,186,86,Geelong Falcons,Defender
Melbourne,0,"Lockhart, Jay R",2,1996-02-03,177,75,Casey Demons,Defender/Midfield
Melbourne,1,"May, Steven",124,1992-01-10,193,101,Southern Districts,Defender
Melbourne,20,"Maynard, Corey",2,1991-10-07,185,89,Bryant University,Midfield
Melbourne,28,"McDonald, Oscar",66,1996-03-18,196,100,North Ballarat Rebels,Defender
Melbourne,25,"McDonald, Tom",150,1992-09-18,194,100,North Ballarat,Forward
Melbourne,18,"Melksham, Jake",160,1991-08-29,186,83,Calder Cannons,Forward
Melbourne,30,"Neal-Bullen, Alex",62,1996-01-09,182,80,Glenelg,Forward
Melbourne,27,"Nietschke, Aaron",0,2000-05-26,184,80,Central District,Midfield
Melbourne,13,"Oliver, Clayton",64,1997-07-22,187,83,Murray Bushrangers,Midfield
Melbourne,5,"Petracca, Christian",67,1996-01-04,186,96,Eastern Ranges,Midfield/Forward
Melbourne,35,"Petty, Harrison",1,1999-11-12,197,83,Norwood,Defender
Melbourne,21,"Preuss, Braydon",9,1995-06-16,206,109,Surfers Paradise,Ruck
Melbourne,3,"Salem, Christian",74,1995-07-15,183,81,Sandringham Dragons,Defender
Melbourne,44,"Smith, Joel",11,1996-02-25,191,88,Geelong Supercats,Defender
Melbourne,38,"Smith, Tim R",6,1991-02-20,192,95,Casey Scorpions,Forward
Melbourne,9,"Spargo, Charlie",20,1999-11-25,173,71,Murray Bushrangers,Forward
Melbourne,32,"Sparrow, Tom",2,2000-05-31,182,82,South Adelaide,Midfield
Melbourne,15,"Stretch, Billy",39,1996-09-08,180,77,Glenelg,Midfield
Melbourne,22,"Vandenberg, Aaron",35,1992-03-03,188,90,Ainslie,Midfield/Forward
Melbourne,7,"Viney, Jack",102,1994-04-13,178,87,Oakleigh Chargers,Midfield
Melbourne,40,"Wagner, Corey R",11,1997-03-23,181,78,Aspley,Midfield
Melbourne,42,"Wagner, Joshua",30,1994-06-24,189,84,Aspley,Defender
Melbourne,43,"Walker, Guy R",0,1995-09-12,184,76,Melbourne Renegades,Defender/Forward
Melbourne,26,"Weideman, Sam",24,1997-06-26,195,97,Eastern Ranges,Forward
North Melbourne,15,"Ahern, Paul",11,1996-08-01,183,85,Calder Cannons,Midfield
North Melbourne,3,"Anderson, Jed",46,1994-02-02,179,81,Territory Thunder,Midfield
North Melbourne,18,"Atley, Shaun",177,1992-09-13,189,86,Murray Bushrangers,Forward
North Melbourne,50,"Brown, Ben",100,1992-11-20,200,101,Werribee Tigers,Forward
North Melbourne,42,"Campbell, Tom",42,1991-11-02,200,106,Bendigo Bombers,Ruck
North Melbourne,36,"Crocker, Joel",0,2000-04-14,191,78,Sandringham Dragons,Defender/Forward
North Melbourne,10,"Cunnington, Ben",188,1991-06-30,185,88,Geelong Falcons,Midfield
North Melbourne,9,"Davies-Uniacke, Luke",8,1999-06-08,188,85,Dandenong Stingrays,Midfield
North Melbourne,1,"Daw, Majak",50,1991-03-11,195,97,Western Jets,Defender
North Melbourne,14,"Dumont, Trent",62,1995-06-30,186,87,Norwood,Midfield
North Melbourne,24,"Durdin, Sam",9,1996-06-06,198,97,West Adelaide,Defender
North Melbourne,6,"Garner, Taylor",34,1994-01-08,187,88,Dandenong Stingrays,Forward
North Melbourne,22,"Goldstein, Todd",213,1988-07-01,201,103,Oakleigh,Ruck
North Melbourne,43,"Hall, Aaron",104,1990-11-09,185,85,Hobart,Midfield
North Melbourne,37,"Hayden, Kyron",0,1999-06-07,186,88,Subiaco,Midfield/Forward
North Melbourne,4,"Higgins, Shaun",204,1988-03-04,184,89,Geelong Falcons,Midfield
North Melbourne,8,"Hrovat, Nathan",64,1994-06-07,175,78,Northern Knights,Forward
North Melbourne,5,"Jacobs, Ben",90,1992-01-09,185,85,Sandringham Dragons,Midfield
North Melbourne,20,"Larkey, Nick",2,1998-06-06,198,93,Oakleigh Chargers,Forward
North Melbourne,34,"MacMillan, Jamie",140,1991-09-23,188,89,Oakleigh Chargers,Defender
North Melbourne,11,"McDonald, Luke",97,1995-02-09,189,89,Werribee,Defender
North Melbourne,23,"McKay, Ben",2,1997-12-24,201,95,Gippsland Power,Defender
North Melbourne,39,"McKenzie, Tom",0,2000-06-23,183,78,Northern Knights,Defender/Midfield
North Melbourne,40,"Murphy, Thomas",4,1998-01-19,189,82,Dandenong Stingrays,Defender
North Melbourne,45,"Og Murphy, Red",0,2000-10-11,185,80,,Midfield
North Melbourne,17,"Pittard, Jasper",127,1991-04-01,186,84,Geelong Falcons,Defender
North Melbourne,13,"Polec, Jared",107,1992-10-12,187,84,Woodville West Torrens,Midfield
North Melbourne,30,"Scott, Bailey",1,2000-07-09,186,74,Gc Suns Academy,Midfield
North Melbourne,12,"Simpkin, Jy",36,1998-03-05,182,75,Murray Bushrangers,Forward
North Melbourne,25,"Tarrant, Robbie",127,1989-04-25,196,97,Bendigo Pioneers,Defender
North Melbourne,31,"Taylor, Curtis",0,2000-04-06,187,79,Calder Cannons,Midfield/Forward
North Melbourne,26,"Thomas, Tarryn",0,2000-03-25,189,85,North Launcestion,Midfield
North Melbourne,16,"Thompson, Scott",222,1986-05-09,193,96,Geelong,Defender
North Melbourne,28,"Turner, Kayne",59,1995-12-31,180,75,Wodonga Football,Forward
North Melbourne,21,"Tyson, Dom",108,1993-06-08,186,85,Oakleigh Chargers,Midfield
North Melbourne,33,"Vickers-Willis, Ed",15,1996-03-28,190,86,Sandringham Dragons,Defender
North Melbourne,27,"Walker, Will",4,1999-03-30,186,78,Sandringham Dragons,Forward
North Melbourne,35,"Watson, Declan",0,1998-09-17,191,87,Aspley,Defender
North Melbourne,41,"Wilkinson, Thomas",0,1996-03-07,181,83,Southport,Forward
North Melbourne,2,"Williams, Marley",104,1993-07-22,181,83,Claremont,Defender
North Melbourne,32,"Wood, Mason",40,1993-09-13,192,87,Geelong Falcons,Forward
North Melbourne,19,"Wright, Samuel",132,1990-07-15,188,86,Murray Bushrangers,Defender
North Melbourne,38,"Xerri, Tristan",0,1999-03-15,201,94,Western Jets,Forward/Ruck
North Melbourne,7,"Ziebell, Jack",189,1991-02-28,188,88,Murray Bushrangers,Forward
North Melbourne,44,"Zurhaar, Cameron",9,1998-05-22,189,90,East Fremantle,Forward
Port Adelaide,15,"Amon, Karl",43,1995-08-19,181,79,Sandringham Dragons,Midfield
Port Adelaide,30,"Atley, Joe",3,1998-08-04,188,88,Bendigo Pioneers,Midfield
Port Adelaide,10,"Boak, Travis",244,1988-08-01,184,85,Geelong Falcons,Forward
Port Adelaide,26,"Bonner, Riley",24,1997-03-07,191,82,West Adelaide,Defender
Port Adelaide,5,"Broadbent, Matthew",161,1990-08-01,189,90,Woodville-west Torrens,Defender
Port Adelaide,3,"Burton, Ryan",48,1997-01-31,191,91,North Adelaide,Defender
Port Adelaide,18,"Butters, Zak",1,2000-09-08,181,71,Western Jets,Midfield
Port Adelaide,33,"Byrne-Jones, Darcy",65,1995-09-20,180,76,Oakleigh Chargers,Defender
Port Adelaide,17,"Clurey, Tom",61,1994-03-23,193,93,Murray Bushrangers,Defender
Port Adelaide,47,"Cox, Tobin",0,1999-07-15,177,82,Glenelg,Midfield/Forward
Port Adelaide,22,"Dixon, Charlie",126,1990-09-23,200,108,Redland,Forward
Port Adelaide,28,"Drew, Willem",1,1998-10-01,190,85,North Ballarat Rebels,Midfield/Forward
Port Adelaide,21,"Duursma, Xavier",1,2000-07-07,186,74,Gippsland Power,Defender/Midfield
Port Adelaide,7,"Ebert, Brad",236,1990-04-02,188,89,Port Adelaide Magpies,Midfield
Port Adelaide,24,"Farrell, Kane",5,1999-03-17,183,75,Bendigo Pioneers,Forward
Port Adelaide,14,"Frampton, Billy",1,1996-11-20,200,96,South Fremantle,Ruck
Port Adelaide,45,"Frederick, Martin",0,2000-05-17,178,74,Sudan,Defender/Midfield
Port Adelaide,27,"Garner, Joel",0,1999-05-21,184,80,Eastern Ranges,Defender
Port Adelaide,9,"Gray, Robbie",200,1988-03-30,183,84,Oakleigh,Midfield/Forward
Port Adelaide,46,"Gray, Sam",76,1992-02-01,176,78,Port Adelaide,Forward
Port Adelaide,41,"Grundy, Riley",0,2000-07-28,195,83,Sturt,Defender
Port Adelaide,8,"Hartlett, Hamish",153,1990-08-14,183,85,West Adelaide,Defender
Port Adelaide,25,"Hayes, Sam",0,1999-06-09,203,96,Eastern Ranges,Ruck
Port Adelaide,44,"Hewett, Cameron",0,1997-02-26,189,82,North Adelaide,Midfield
Port Adelaide,43,"Houston, Dan",40,1997-05-12,187,89,Oakleigh Chargers,Defender
Port Adelaide,32,"Howard, Dougal",30,1996-03-25,199,95,Murray Bushrangers,Defender
Port Adelaide,31,"Johnson, Aidyn",10,1997-10-31,185,81,Bendigo Pioneers,Forward
Port Adelaide,42,"Jonas, Thomas",122,1991-01-09,189,94,Norwood,Defender
Port Adelaide,38,"Ladhams, Peter",0,1998-01-14,203,94,Norwood,Ruck
Port Adelaide,40,"Lienert, Jarrod",6,1994-08-05,193,89,Sturt Fc,Defender
Port Adelaide,29,"Lycett, Scott",76,1992-09-26,203,101,Port Magpies,Forward/Ruck
Port Adelaide,13,"Marshall, Todd",11,1998-10-08,198,90,Murray Bushrangers,Forward
Port Adelaide,34,"Mayes, Sam",101,1994-05-20,189,88,North Adelaide,Defender
Port Adelaide,12,"McKenzie, Trent",107,1992-04-03,191,83,Western Jets,Defender
Port Adelaide,6,"Motlop, Steven",157,1991-03-12,183,76,Wanderers,Midfield/Forward
Port Adelaide,37,"Patmore, Jake",0,1999-01-29,181,72,Claremont,Midfield/Forward
Port Adelaide,2,"Powell-Pepper, Sam",39,1998-01-08,188,96,East Perth,Midfield
Port Adelaide,48,"Pudney, Kai",0,2000-01-09,186,78,Japan,Midfield
Port Adelaide,11,"Rockliff, Tom",173,1990-02-22,185,83,Murray Bushrangers,Midfield
Port Adelaide,20,"Rozee, Connor",1,2000-01-22,185,73,North Adelaide,Defender/Forward
Port Adelaide,4,"Ryder, Patrick",227,1988-03-14,197,96,East Fremantle,Ruck
Port Adelaide,19,"Trengove, Jack",89,1991-09-02,186,85,Sturt,Defender
Port Adelaide,23,"Watts, Jack",173,1991-03-26,195,90,Sandringham Dragons,Forward
Port Adelaide,39,"Westhoff, Justin",249,1986-10-01,200,93,Central Districts,Forward/Ruck
Port Adelaide,16,"Wines, Oliver",129,1994-10-07,190,99,Bendigo Pioneers,Midfield
Port Adelaide,36,"Woodcock, Boyd",0,2000-03-05,179,72,North Adelaide,Midfield/Forward
Richmond,39,"Aarts, Jake",0,1994-12-08,180,76,Richmond Football Club,Forward
Richmond,12,"Astbury, David",108,1991-02-26,195,96,North Ballarat Rebels,Defender
Richmond,48,"Baker, Liam",3,1998-01-27,173,69,Subiaco,Forward
Richmond,38,"Balta, Noah",1,1999-10-23,194,94,Calder Cannons,Forward
Richmond,29,"Bolton, Shai",9,1998-12-08,175,76,South Fremantle,Forward
Richmond,35,"Broad, Nathan",31,1993-04-15,192,89,Swan Districts,Defender
Richmond,7,"Butler, Daniel",39,1996-06-03,182,80,North Ballarat Rebels,Forward
Richmond,22,"Caddy, Josh",139,1992-09-28,186,88,Northern Knights,Forward
Richmond,11,"Castagna, Jason",52,1996-07-12,181,80,Northern Knights,Forward
Richmond,41,"Chol, Mabior",1,1997-01-29,199,93,Aspley,Forward
Richmond,40,"Coleman-Jones, Callum",0,1999-06-13,200,97,Sturt,Forward/Ruck
Richmond,26,"Collier-Dawkins, Riley",0,2000-02-03,193,88,Oakleigh Chargers,Midfield
Richmond,9,"Cotchin, Trent",221,1990-04-07,185,85,Northern Knights,Midfield
Richmond,10,"Edwards, Shane",232,1988-10-25,182,81,Nth Adelaide,Midfield/Forward
Richmond,43,"Eggmolesse-Smith, Derek",0,1998-05-04,180,76,Wentworth,Defender
Richmond,5,"Ellis, Brandon",153,1993-08-03,181,82,Calder Cannons,Defender
Richmond,32,"English, Luke",0,2000-08-20,181,79,Perth,Midfield
Richmond,42,"Garthwaite, Ryan",2,1998-06-30,192,91,Murray Bushrangers,Defender
Richmond,34,"Graham, Jack",24,1998-02-25,181,82,North Adelaide,Midfield
Richmond,6,"Grigg, Shaun",214,1988-04-19,190,85,Nth Ballarat,Midfield
Richmond,2,"Grimes, Dylan",128,1991-07-16,193,90,Northern Knights,Defender
Richmond,13,"Higgins, Jack",21,1999-03-19,177,76,Oakleigh Chargers,Forward
